invoice_no,actual_anomaly,anomaly_type
INV018935,1,Extreme Invoice Amount
INV001162,1,Extreme Invoice Amount
INV018052,1,Extreme Invoice Amount
INV008453,1,Extreme Invoice Amount
INV002561,1,Extreme Invoice Amount
INV018005,1,Extreme Invoice Amount
INV007473,1,Extreme Invoice Amount
INV009044,1,Extreme Invoice Amount
INV006193,1,Extreme Invoice Amount
INV002865,1,Extreme Invoice Amount
INV000059,1,Extreme Invoice Amount
INV007499,1,Extreme Invoice Amount
INV018681,1,Extreme Invoice Amount
INV000539,1,Extreme Invoice Amount
INV010628,1,Extreme Invoice Amount
INV016848,1,Extreme Invoice Amount
INV015428,1,Extreme Invoice Amount
INV005933,1,Extreme Invoice Amount
INV004989,1,Extreme Invoice Amount
INV017626,1,Extreme Invoice Amount
INV017184,1,Extreme Invoice Amount
INV012943,1,Extreme Invoice Amount
INV018871,1,Extreme Invoice Amount
INV007369,1,Extreme Invoice Amount
INV009046,1,Extreme Invoice Amount
INV011319,1,Extreme Invoice Amount
INV009097,1,Extreme Invoice Amount
INV019264,1,Extreme Invoice Amount
INV017703,1,Extreme Invoice Amount
INV019190,1,Extreme Invoice Amount
INV011033,1,Extreme Invoice Amount
INV007706,1,Extreme Invoice Amount
INV015370,1,Extreme Invoice Amount
INV010533,1,Extreme Invoice Amount
INV007626,1,Extreme Invoice Amount
INV007429,1,Extreme Invoice Amount
INV002290,1,Extreme Invoice Amount
INV006588,1,Extreme Invoice Amount
INV019172,1,Extreme Invoice Amount
INV003336,1,Extreme Invoice Amount
INV013448,1,Extreme Invoice Amount
INV003715,1,Extreme Invoice Amount
INV010740,1,Extreme Invoice Amount
INV008757,1,Extreme Invoice Amount
INV003846,1,Extreme Invoice Amount
INV017922,1,Extreme Invoice Amount
INV014690,1,Extreme Invoice Amount
INV019270,1,Extreme Invoice Amount
INV013442,1,Extreme Invoice Amount
INV009079,1,Extreme Invoice Amount
INV005243,1,Extreme Invoice Amount
INV004755,1,Extreme Invoice Amount
INV006281,1,Extreme Invoice Amount
INV018315,1,Extreme Invoice Amount
INV009467,1,Extreme Invoice Amount
INV018454,1,Extreme Invoice Amount
INV012718,1,Extreme Invoice Amount
INV014248,1,Extreme Invoice Amount
INV016821,1,Extreme Invoice Amount
INV012478,1,Extreme Invoice Amount
INV003632,1,Extreme Invoice Amount
INV010579,1,Extreme Invoice Amount
INV001979,1,Extreme Invoice Amount
INV018073,1,Extreme Invoice Amount
INV019094,1,Extreme Invoice Amount
INV007135,1,Extreme Invoice Amount
INV002183,1,Extreme Invoice Amount
INV005984,1,Extreme Invoice Amount
INV014023,1,Extreme Invoice Amount
INV018895,1,Extreme Invoice Amount
INV005164,1,Extreme Invoice Amount
INV009483,1,Extreme Invoice Amount
INV003807,1,Extreme Invoice Amount
INV007531,1,Extreme Invoice Amount
INV018111,1,Extreme Invoice Amount
INV008501,1,Extreme Invoice Amount
INV002347,1,Extreme Invoice Amount
INV015081,1,Extreme Invoice Amount
INV007838,1,Extreme Invoice Amount
INV008923,1,Extreme Invoice Amount
INV000606,1,Extreme Invoice Amount
INV015915,1,Extreme Invoice Amount
INV007680,1,Extreme Invoice Amount
INV010184,1,Extreme Invoice Amount
INV016767,1,Extreme Invoice Amount
INV018194,1,Extreme Invoice Amount
