invoice_no,invoice_date,supplier_id,supplier_gstin,buyer_id,buyer_gstin,product_category,hsn_code,quantity,unit_price,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,cess_rate,cess_amount,total_tax,total_amount,payment_method
INV000001,2025-08-23,S0388,18RXJCH8395W2ZU,B0447,05WSTYJ7723H8ZX,Clothing,6109,30,1051.09,10,3153.27,28379.43,12,0.0,0.0,3405.53,0.0,0.0,3405.53,31784.96,Credit Card
INV000002,2025-10-27,S0405,31LLPAW2682F3ZD,B0901,23XNDOM0301D9Z1,Clothing,6109,28,4109.88,5,5753.83,109322.81,5,2733.07,2733.07,0.0,0.0,0.0,5466.14,114788.95,Cheque
INV000003,2025-07-26,S0091,06VCCTV5553D7ZW,B0408,10PSVCN7363M1ZL,Furniture,9403,14,13143.78,10,18401.29,165611.63,18,0.0,0.0,29810.09,0.0,0.0,29810.09,195421.72,Cash
INV000004,2025-04-08,S0080,06UANLR6589D4Z4,B0680,16PCGPT9242F1Z5,Industrial Equipment,8419,21,24106.88,0,0.0,506244.48,12,30374.67,30374.67,0.0,0.0,0.0,60749.34,566993.82,Cheque
INV000005,2025-04-25,S0179,37REWAF1889J3ZP,B0920,22UKSSZ7993G6ZP,Clothing,6109,60,3738.43,15,33645.87,190659.93,5,4766.5,4766.5,0.0,0.0,0.0,9533.0,200192.93,Cash
INV000006,2025-07-27,S0488,36MOXFV2483S5Z5,B0918,19YZEJB5222B4ZE,Furniture,9403,64,19896.49,15,191006.3,1082369.06,5,27059.23,27059.23,0.0,0.0,0.0,54118.46,1136487.52,Bank Transfer
INV000007,2025-10-25,S0086,10ZOUCW1375A3ZQ,B0007,32UFRMG3859B7ZH,Pharmaceuticals,3004,69,5274.2,15,54587.97,309331.83,18,27839.86,27839.86,0.0,0.0,0.0,55679.72,365011.55,UPI
INV000008,2025-08-28,S0311,35HQHXZ8690R3ZH,B0456,14UPDZN5512P6ZU,Furniture,9403,15,23571.57,10,35357.36,318216.19,5,7955.4,7955.4,0.0,0.0,0.0,15910.8,334126.99,Cheque
INV000009,2025-10-01,S0330,09GTXCP5207A9ZH,B0253,19WFUOC8937O7ZZ,Industrial Equipment,8419,89,33396.32,15,445840.87,2526431.61,28,353700.43,353700.43,0.0,0.0,0.0,707400.86,3233832.47,UPI
INV000010,2025-12-26,S0201,19AFHUO7455I9ZX,B0386,36JIOSO4107F6ZB,Food,2106,90,2862.36,5,12880.62,244731.78,28,0.0,0.0,68524.9,0.0,0.0,68524.9,313256.68,Bank Transfer
INV000011,2025-10-22,S0425,36QUNKK6593K4Z1,B0097,28YXFIB6040Z6ZQ,Clothing,6109,42,2351.44,0,0.0,98760.48,12,5925.63,5925.63,0.0,0.0,0.0,11851.26,110611.74,Bank Transfer
INV000012,2025-12-10,S0223,10EYAUS6229K5ZE,B0644,27CWIBD5422F7ZC,Pharmaceuticals,3004,2,7663.56,15,2299.07,13028.05,18,0.0,0.0,2345.05,0.0,0.0,2345.05,15373.1,Cheque
INV000013,2025-01-12,S0228,30ZCCDV0549H5ZQ,B0275,03CYBIP8211O2ZI,Pharmaceuticals,3004,61,1512.92,10,9228.81,83059.31,28,11628.3,11628.3,0.0,2.0,1661.19,24917.79,107977.1,Cash
INV000014,2025-08-13,S0294,07KPWNK9972K5Z2,B0634,21YBKLK9333P8ZZ,Furniture,9403,63,2058.09,0,0.0,129659.67,28,18152.35,18152.35,0.0,0.0,0.0,36304.7,165964.37,Bank Transfer
INV000015,2025-08-30,S0238,35VXBZF8738F3ZP,B0703,31JKHHO8597X2ZX,Industrial Equipment,8419,74,32001.53,0,0.0,2368113.22,5,0.0,0.0,118405.66,0.0,0.0,118405.66,2486518.88,Cheque
INV000016,2025-09-16,S0434,01PWGNK5395W6ZH,B0310,12SJZXB2074L1ZL,Electronics,8504,53,23371.14,0,0.0,1238670.42,28,173413.86,173413.86,0.0,0.0,0.0,346827.72,1585498.14,UPI
INV000017,2025-07-24,S0376,16OFTYG9437J1Z7,B0596,31PUXQT1527N1Z0,Industrial Equipment,8419,69,15147.69,5,52259.53,992931.08,18,0.0,0.0,178727.59,0.0,0.0,178727.59,1171658.67,Bank Transfer
INV000018,2025-05-29,S0162,28NVGJH9718N1ZP,B0011,07LZKBG2306J2ZV,Stationery,4820,78,350.0,15,4095.0,23205.0,28,0.0,0.0,6497.4,0.0,0.0,6497.4,29702.4,UPI
INV000019,2025-03-02,S0428,14VXXQA1153S8ZM,B0909,17KAZBS5944M2Z8,Electronics,8504,21,20224.34,5,21235.56,403475.58,5,10086.89,10086.89,0.0,0.0,0.0,20173.78,423649.36,Cheque
INV000020,2025-02-01,S0010,08HEASS9751U5Z6,B0861,03NAUTL5215S7ZK,Industrial Equipment,8419,23,30703.16,0,0.0,706172.68,18,63555.54,63555.54,0.0,0.0,0.0,127111.08,833283.76,Cash
INV000021,2025-10-12,S0450,10SXONY4487Z2Z8,B0553,29KFUSJ7420L8Z9,Industrial Equipment,8419,72,23045.62,15,248892.7,1410391.94,5,35259.8,35259.8,0.0,0.0,0.0,70519.6,1480911.54,Cheque
INV000022,2025-10-10,S0122,22ZMMYN8706F9ZS,B0634,21YBKLK9333P8ZZ,Industrial Equipment,8419,95,50004.05,15,712557.71,4037827.04,5,100945.68,100945.68,0.0,0.0,0.0,201891.36,4239718.4,UPI
INV000023,2025-01-08,S0077,13QRSRV6963O1ZX,B0948,37QKONF1440T3ZI,Furniture,9403,48,45844.73,0,0.0,2200547.04,5,55013.68,55013.68,0.0,0.0,0.0,110027.36,2310574.4,Credit Card
INV000024,2025-12-14,S0207,32IAUTT4630R7ZN,B0105,22WOIHI1894A4ZO,Industrial Equipment,8419,100,61661.82,15,924927.3,5241254.7,12,314475.28,314475.28,0.0,2.0,104825.09,733775.65,5975030.35,Credit Card
INV000025,2025-05-30,S0050,32FUIWS2090X7Z5,B0572,05KJALM1086Y5ZS,Food,2106,99,1717.73,5,8502.76,161552.51,18,14539.73,14539.73,0.0,0.0,0.0,29079.46,190631.97,Cheque
INV000026,2025-09-03,S0468,16IPXPD5090P9ZC,B0739,35VCFNZ1574X8ZO,Electronics,8504,84,6356.6,5,26697.72,507256.68,12,30435.4,30435.4,0.0,0.0,0.0,60870.8,568127.48,Cash
INV000027,2025-01-16,S0058,27LPHGS7469Z4Z1,B0647,35ZLHAP9084O4ZU,Stationery,4820,27,866.9,15,3510.95,19895.35,5,497.38,497.38,0.0,0.0,0.0,994.76,20890.11,Bank Transfer
INV000028,2025-06-05,S0487,14HZNIY5306I7ZL,B0993,34IOBIH1807F9Z5,Food,2106,17,1824.29,0,0.0,31012.93,28,4341.81,4341.81,0.0,0.0,0.0,8683.62,39696.55,Credit Card
INV000029,2025-10-14,S0463,17IUTBT9174D2ZP,B0952,31ABDZM3574J8Z2,Furniture,9403,48,9076.9,0,0.0,435691.2,28,60996.77,60996.77,0.0,0.0,0.0,121993.54,557684.74,Cash
INV000030,2025-06-15,S0467,37ZWCWM9582X7ZP,B0353,31DVTHF8987A7ZE,Industrial Equipment,8419,77,46437.86,5,178785.76,3396929.46,12,203815.77,203815.77,0.0,0.0,0.0,407631.54,3804561.0,UPI
INV000031,2025-04-05,S0481,35ZNDAY7991X9Z6,B0876,23DGYTK7975E8ZM,Clothing,6109,16,3123.14,0,0.0,49970.24,12,2998.21,2998.21,0.0,0.0,0.0,5996.42,55966.66,Bank Transfer
INV000032,2025-08-30,S0238,35VXBZF8738F3ZP,B0031,02YQQXZ1714N5ZJ,Food,2106,64,956.54,5,3060.93,58157.63,18,5234.19,5234.19,0.0,0.0,0.0,10468.38,68626.01,Bank Transfer
INV000033,2025-07-10,S0306,19ANUNN4263C2ZK,B0229,01HEWAT5086O9ZQ,Industrial Equipment,8419,56,35994.47,0,0.0,2015690.32,12,120941.42,120941.42,0.0,0.0,0.0,241882.84,2257573.16,Credit Card
INV000034,2025-02-11,S0497,05AMLFA6549B2ZT,B0141,14OXRGR7633O1ZE,Food,2106,43,2199.53,0,0.0,94579.79,5,2364.49,2364.49,0.0,0.0,0.0,4728.98,99308.77,Cheque
INV000035,2025-01-29,S0002,02OSSKL2871N6ZR,B0759,21VFFEQ2479D4Z1,Clothing,6109,51,813.08,0,0.0,41467.08,5,0.0,0.0,2073.35,0.0,0.0,2073.35,43540.43,Credit Card
INV000036,2025-05-02,S0473,30QJEOB7292D8ZN,B0798,07LHYML0007L8ZG,Pharmaceuticals,3004,19,6369.74,5,6051.25,114973.81,28,16096.33,16096.33,0.0,0.0,0.0,32192.66,147166.47,Cheque
INV000037,2025-11-25,S0280,16ARXVR1057D5ZO,B0750,37FZAQI5316H6ZD,Clothing,6109,80,1863.22,0,0.0,149057.6,18,13415.18,13415.18,0.0,0.0,0.0,26830.36,175887.96,Cheque
INV000038,2025-12-09,S0157,06NNJXC8925F6Z7,B0175,07UEMQL5009Z9ZL,Pharmaceuticals,3004,45,1485.44,0,0.0,66844.8,5,1671.12,1671.12,0.0,2.0,1336.9,4679.14,71523.94,Credit Card
