invoice_no,isolation_prediction,isolation_anomaly,isolation_score
INV000001,1,0,0.34441451566140036
INV000002,-1,1,0.538398117438491
INV000003,1,0,0.3610655983495619
INV000004,1,0,0.34183085006850567
INV000005,1,0,0.35170994305530257
INV000006,1,0,0.39759198197188805
INV000007,1,0,0.3579375760594172
INV000008,1,0,0.3785868600406058
INV000009,1,0,0.4571230323531926
INV000010,1,0,0.40855517151420495
INV000011,1,0,0.37571860142085317
INV000012,1,0,0.37048182383134803
INV000013,1,0,0.3845282176270534
INV000014,1,0,0.34826668169043556
INV000015,-1,1,0.5250969800395078
INV000016,1,0,0.3684364743999295
INV000017,1,0,0.3759103126789615
INV000018,1,0,0.36893336858096093
INV000019,1,0,0.37952255987020345
INV000020,1,0,0.3579582186195642
INV000021,1,0,0.39446392986877976
INV000022,1,0,0.463607146833426
INV000023,1,0,0.3930533028583362
INV000024,-1,1,0.5418545453822671
INV000025,1,0,0.36045445755507916
INV000026,1,0,0.38397123720096443
INV000027,1,0,0.38252679151946634
INV000028,1,0,0.34536898668523286
INV000029,1,0,0.37338580490272805
INV000030,1,0,0.4140016065737256
INV000031,1,0,0.3451820184862276
INV000032,-1,1,0.4911378980499026
INV000033,1,0,0.36048853605152115
INV000034,1,0,0.37488731881142345
INV000035,1,0,0.36731953376642124
INV000036,1,0,0.3533685162546487
INV000037,1,0,0.362122566685485
INV000038,1,0,0.3671648218367333
INV000039,1,0,0.3423861807128421
INV000040,1,0,0.35090284120221005
INV000041,1,0,0.4086990558248785
INV000042,1,0,0.3504431466175888
INV000043,1,0,0.3400502165099475
INV000044,1,0,0.38682631995358724
INV000045,1,0,0.356366012522364
INV000046,1,0,0.3606100633064418
INV000047,-1,1,0.5158550691839969
INV000048,1,0,0.3573433136954856
INV000049,1,0,0.3540611334751034
INV000050,1,0,0.36971054301897854
INV000051,1,0,0.3621498849270616
INV000052,1,0,0.41487609360012123
INV000053,-1,1,0.5006386750165049
INV000054,1,0,0.38315279499785576
INV000055,1,0,0.38004779012188217
INV000056,1,0,0.48589730371644496
INV000057,1,0,0.3521300096389247
INV000058,1,0,0.3455264655126084
INV000059,-1,1,0.5184898052698601
INV000060,-1,1,0.5706520762100211
INV000061,1,0,0.34971868949658663
INV000062,1,0,0.36340366242157063
INV000063,1,0,0.359394515809214
INV000064,1,0,0.3800367475804231
INV000065,1,0,0.35090783914783946
INV000066,1,0,0.3468960666151281
INV000067,1,0,0.34077518501360465
INV000068,1,0,0.343449377694261
INV000069,1,0,0.3725170904880972
INV000070,1,0,0.38492277158682325
INV000071,1,0,0.3674386253212665
INV000072,1,0,0.45343595413683757
INV000073,1,0,0.35142586240929935
INV000074,1,0,0.46773016578462395
INV000075,1,0,0.3480766050062076
INV000076,1,0,0.3555385897587189
INV000077,1,0,0.34230701518214585
INV000078,1,0,0.3621579290088534
INV000079,1,0,0.3593267487347874
INV000080,1,0,0.334927784893664
INV000081,1,0,0.3473673946290971
INV000082,1,0,0.3684339990345157
INV000083,1,0,0.329304457357588
INV000084,1,0,0.3812650792276335
INV000085,1,0,0.34384649137867895
INV000086,1,0,0.4010904188709541
INV000087,1,0,0.36035611706050674
INV000088,1,0,0.37890874468783237
INV000089,1,0,0.4414846377913806
INV000090,1,0,0.4399938643418639
INV000091,1,0,0.3483849034285533
INV000092,1,0,0.3579226672455261
INV000093,1,0,0.36932805509039146
INV000094,1,0,0.3419151574791053
INV000095,1,0,0.43186519377744986
INV000096,1,0,0.37297222731338125
INV000097,1,0,0.37846803047961636
INV000098,1,0,0.3803464935071969
INV000099,1,0,0.35528557572088043
INV000100,1,0,0.39030729584656465
