invoice_no,lof_prediction,lof_anomaly,lof_score
INV000001,1,0,1.0246945470777105
INV000002,1,0,1.1948238172481334
INV000003,1,0,1.0005906070786887
INV000004,1,0,1.0755972601841408
INV000005,1,0,0.9769898648334016
INV000006,-1,1,1.4376124451362797
INV000007,1,0,1.0524382273975035
INV000008,1,0,1.0369009706384418
INV000009,1,0,1.2721674783136003
INV000010,1,0,1.093664567063026
INV000011,1,0,0.9804303576568512
INV000012,1,0,1.000447477865326
INV000013,1,0,1.108152207348589
INV000014,1,0,1.0161209927928925
INV000015,1,0,1.0010180838305274
INV000016,1,0,1.0903240769156306
INV000017,1,0,1.2109111382180273
INV000018,1,0,0.9961466800417325
INV000019,1,0,0.997481765937558
INV000020,1,0,1.0201310931299616
INV000021,1,0,1.0378348378744813
INV000022,1,0,1.0656793830421185
INV000023,1,0,1.2649945846131614
INV000024,1,0,1.21907842091963
INV000025,1,0,1.029292137568414
INV000026,1,0,1.0171317414011178
INV000027,1,0,1.0155048000376463
INV000028,1,0,1.0849464421390569
INV000029,1,0,1.109378052306643
INV000030,1,0,1.1272827777978809
INV000031,1,0,1.0473159677336594
INV000032,1,0,1.0432685473714585
INV000033,1,0,1.005300634936118
INV000034,1,0,0.9975370343868717
INV000035,-1,1,1.3597513382947386
INV000036,1,0,1.0146628939432412
INV000037,1,0,1.0385468942796687
INV000038,1,0,1.0596894113477722
INV000039,1,0,1.0117285267664589
INV000040,1,0,1.0281376551328196
INV000041,1,0,1.0329535395035523
INV000042,1,0,1.086386776179771
INV000043,1,0,0.9990736952079029
INV000044,1,0,1.1635758352646521
INV000045,1,0,0.9624726171206002
INV000046,1,0,1.0933650012006553
INV000047,1,0,1.134469436638172
INV000048,1,0,1.0777374660765964
INV000049,1,0,1.017158384347852
INV000050,1,0,1.2115145618598102
INV000051,1,0,1.0273334791777906
INV000052,1,0,1.1312220810581162
INV000053,1,0,1.0254671300069542
INV000054,1,0,1.0427050082952074
INV000055,1,0,1.0054421891175085
INV000056,1,0,1.1379544503978603
INV000057,1,0,1.0599904440952164
INV000058,1,0,1.2016430338601558
INV000059,-1,1,1.6707877094112829
INV000060,-1,1,1.3478580220594325
INV000061,1,0,1.0179244173679745
INV000062,1,0,0.997870791938165
INV000063,1,0,1.0901374820815526
INV000064,1,0,1.1023636745183336
INV000065,1,0,1.0212783482460526
INV000066,1,0,1.0414845949561982
INV000067,1,0,1.2260208463552187
INV000068,1,0,1.0995126335913865
INV000069,1,0,1.175002677582041
INV000070,1,0,1.0100636391156346
INV000071,1,0,1.0537363212121111
INV000072,1,0,1.189377944522527
INV000073,1,0,0.974343599307754
INV000074,1,0,1.1657246861548054
INV000075,1,0,0.9627597668393879
INV000076,1,0,1.0199904895313192
INV000077,1,0,1.1183302498888568
INV000078,1,0,1.125819222821109
INV000079,1,0,1.0188383392503564
INV000080,1,0,1.0178086805491722
INV000081,1,0,0.9820180889866265
INV000082,1,0,1.0047555449828898
INV000083,1,0,1.0364090202760607
INV000084,1,0,1.0776135769597377
INV000085,1,0,1.0202793447816743
INV000086,1,0,1.1430005015459803
INV000087,1,0,1.019979033215173
INV000088,1,0,1.3291057031811033
INV000089,1,0,1.338701459694638
INV000090,1,0,1.068518347292636
INV000091,1,0,1.0034829851017153
INV000092,1,0,1.033121190944582
INV000093,1,0,1.0786628688009823
INV000094,1,0,0.9664019641443227
INV000095,1,0,0.9866816648259839
INV000096,-1,1,1.3945828288497444
INV000097,1,0,1.0739941980995187
INV000098,1,0,1.0021600057137687
INV000099,1,0,1.1679002365555904
INV000100,1,0,1.190465862551243
INV000101,-1,1,1.4239924173079237
INV000102,1,0,1.0676637923275012
INV000103,1,0,1.004945534066827
INV000104,1,0,1.1128707385443288
INV000105,1,0,1.0929778780180361
INV000106,1,0,1.0061341573034857
INV000107,1,0,1.090710418742141
INV000108,1,0,1.0890655900413866
INV000109,1,0,1.0511034048570624
INV000110,1,0,1.0077039507993057
INV000111,1,0,0.9788709801072757
INV000112,1,0,1.0553636878935673
INV000113,1,0,1.0611330732377116
INV000114,1,0,1.0323738728187464
INV000115,1,0,1.0879949759919527
INV000116,1,0,1.0307661462372222
INV000117,1,0,1.2931863276878148
INV000118,1,0,1.1015680600602429
INV000119,1,0,1.082468398175186
INV000120,1,0,0.9859002162904439
INV000121,1,0,1.2058429234481514
INV000122,-1,1,1.5505679442377571
INV000123,1,0,1.0191449959057297
INV000124,1,0,0.9960116170842299
INV000125,1,0,1.1509270640154186
INV000126,1,0,1.0554385828312436
INV000127,1,0,0.9901071577453455
INV000128,1,0,1.0571643385973049
INV000129,1,0,1.0192092774644843
INV000130,1,0,1.0840789806436626
INV000131,1,0,0.9998176641035741
INV000132,1,0,1.0345200607155678
INV000133,1,0,0.9983787226327117
INV000134,1,0,1.1868840357816086
INV000135,1,0,1.0972648060488928
INV000136,1,0,1.0341997437119406
INV000137,1,0,1.1246513712470931
INV000138,1,0,1.0442502496269332
INV000139,1,0,1.097650675306049
INV000140,1,0,1.1159489753113023
INV000141,1,0,1.0689818601852845
INV000142,1,0,0.9880356930457184
INV000143,1,0,1.1913388345478544
INV000144,1,0,1.2381086807044528
INV000145,1,0,0.9770069554573647
INV000146,1,0,1.022251507191145
INV000147,1,0,1.196006603671355
INV000148,1,0,0.9857851701882494
INV000149,1,0,1.042159943728883
INV000150,1,0,0.98956593169047
INV000151,1,0,1.0703157714583797
INV000152,1,0,1.0291587183911572
INV000153,1,0,1.015701405709549
INV000154,1,0,1.0462689052121004
INV000155,1,0,1.0798855416466764
INV000156,1,0,1.294224793030615
INV000157,1,0,1.0362887348590573
INV000158,1,0,1.144915276533116
INV000159,1,0,1.1063347738013534
INV000160,1,0,1.080742396597725
INV000161,1,0,1.0281489028758775
INV000162,1,0,1.1918950698379915
INV000163,1,0,0.985016005858335
INV000164,1,0,1.302234167749279
INV000165,1,0,1.2371724495810335
INV000166,-1,1,1.3894792834629042
INV000167,1,0,1.0494461825865806
INV000168,1,0,1.0291333969506575
INV000169,1,0,0.9811815274287644
INV000170,1,0,1.0604076657095358
INV000171,1,0,1.111751088933319
INV000172,1,0,1.019927018151504
INV000173,1,0,1.0368856072626014
INV000174,1,0,1.065556631946983
INV000175,1,0,1.0345087300798033
INV000176,1,0,1.1607968090966798
INV000177,1,0,0.9875779557184996
INV000178,1,0,1.0447343476771582
INV000179,1,0,1.1451115391705564
INV000180,1,0,1.0479069917050852
INV000181,1,0,1.1177571436590035
INV000182,1,0,1.107927936847159
INV000183,1,0,1.0008715165004312
INV000184,1,0,1.0257488503569059
INV000185,1,0,0.9906184308507499
