invoice_no,quantity,unit_price,discount_percentage,discount_amount,taxable_value,gst_rate,cgst,sgst,igst,cess_rate,cess_amount,total_tax,total_amount,calculated_gross_value,discount_difference,taxable_value_difference,gst_difference,total_tax_difference,total_amount_difference,cgst_sgst_split_difference,igst_difference,duplicate_transaction_frequency,duplicate_transaction_flag,supplier_frequency,buyer_frequency,supplier_buyer_frequency,supplier_daily_frequency,buyer_daily_frequency,daily_transaction_frequency,future_date_flag,days_beyond_allowed_end,invoice_month
INV000001,30,1051.09,10,3153.27,28379.43,12,0.0,0.0,3405.53,0.0,0.0,3405.53,31784.96,31532.699999999997,0.0,3.637978807091713e-12,0.0016000000000531145,0.0,0.0,0.0,0.0016000000000531145,1,0,33,21,1,1,1,62,0,0,8
INV000002,28,4109.88,5,5753.83,109322.81,5,2733.07,2733.07,0.0,0.0,0.0,5466.14,114788.95,115076.64,0.001999999999497959,0.0,0.0005000000001018634,0.0,0.0,0.0005000000001018634,0.0,1,0,50,111,2,2,92,151,0,0,10
INV000003,14,13143.78,10,18401.29,165611.63,18,0.0,0.0,29810.09,0.0,0.0,29810.09,195421.72,184012.92,0.0020000000004074536,0.0,0.003399999997782288,0.0,0.0,0.0,0.003399999997782288,1,0,35,21,1,1,1,51,0,0,7
INV000004,21,24106.88,0,0.0,506244.48,12,30374.67,30374.67,0.0,0.0,0.0,60749.34,566993.82,506244.48000000004,0.0,5.820766091346741e-11,0.0023999999975785613,0.0,0.0,0.0023999999975785613,0.0,1,0,36,22,1,1,1,59,0,0,4
INV000005,60,3738.43,15,33645.87,190659.93,5,4766.5,4766.5,0.0,0.0,0.0,9533.0,200192.93,224305.8,0.0,0.0,0.003500000000713044,0.0,0.0,0.003500000000713044,0.0,1,0,45,22,1,1,1,54,0,0,4
INV000006,64,19896.49,15,191006.3,1082369.06,5,27059.23,27059.23,0.0,0.0,0.0,54118.46,1136487.52,1273375.36,0.004000000044470653,0.0,0.006999999990512151,0.0,0.0,0.006999999990512151,0.0,1,0,67,18,1,1,1,66,0,0,7
INV000007,69,5274.2,15,54587.97,309331.83,18,27839.86,27839.86,0.0,0.0,0.0,55679.72,365011.55,363919.8,0.0,5.820766091346741e-11,0.009400000002642628,0.0,5.820766091346741e-11,0.009400000002642628,0.0,1,0,40,18,1,1,1,65,0,0,10
INV000008,15,23571.57,10,35357.36,318216.19,5,7955.4,7955.4,0.0,0.0,0.0,15910.8,334126.99,353573.55,0.004999999997380655,0.0,0.009500000000116415,0.0,0.0,0.009500000000116415,0.0,1,0,50,20,1,1,1,55,0,0,8
INV000009,89,33396.32,15,445840.87,2526431.61,28,353700.43,353700.43,0.0,0.0,0.0,707400.86,3233832.47,2972272.48,0.0020000000367872417,0.0,0.009199999971315265,0.0,4.656612873077393e-10,0.009199999971315265,0.0,1,0,38,20,1,1,1,72,0,0,10
INV000010,90,2862.36,5,12880.62,244731.78,28,0.0,0.0,68524.9,0.0,0.0,68524.9,313256.68,257612.40000000002,0.0,2.9103830456733704e-11,0.0015999999886844307,0.0,0.0,0.0,0.0015999999886844307,1,0,55,21,2,2,1,58,0,0,12
